date,Total New Cases
05/08/23,0
06/08/23,2848647
07/08/23,0
08/08/23,0
09/08/23,0
10/08/23,0
11/08/23,0
12/08/23,0
13/08/23,586271
14/08/23,0
15/08/23,0
16/08/23,0
17/08/23,0
18/08/23,0
19/08/23,0
20/08/23,1433842
21/08/23,0
22/08/23,0
23/08/23,0
24/08/23,0
25/08/23,0
26/08/23,0
27/08/23,1503196
28/08/23,0
29/08/23,0
30/08/23,0
31/08/23,0
01/09/23,0
02/09/23,0
03/09/23,1452147
04/09/23,0
05/09/23,0
06/09/23,0
07/09/23,0
08/09/23,0
09/09/23,0
10/09/23,1037945
11/09/23,0
12/09/23,0
13/09/23,0
14/09/23,0
15/09/23,0
16/09/23,0
17/09/23,593709
18/09/23,0
19/09/23,0
20/09/23,0
21/09/23,0
22/09/23,0
23/09/23,0
24/09/23,657635
25/09/23,0
26/09/23,0
27/09/23,0
28/09/23,0
29/09/23,0
30/09/23,0
01/10/23,726345
02/10/23,0
03/10/23,0
04/10/23,0
05/10/23,0
06/10/23,0
07/10/23,0
08/10/23,759666
09/10/23,0
10/10/23,0
11/10/23,0
12/10/23,0
13/10/23,0
14/10/23,0
15/10/23,685861
16/10/23,0
17/10/23,0
18/10/23,0
19/10/23,0
20/10/23,0
21/10/23,0
22/10/23,635234
23/10/23,0
24/10/23,0
25/10/23,0
26/10/23,0
27/10/23,0
28/10/23,0
29/10/23,639034
30/10/23,0
31/10/23,0
01/11/23,0
02/11/23,0
03/11/23,0
04/11/23,0
05/11/23,697501
06/11/23,0
07/11/23,0
08/11/23,0
09/11/23,0
10/11/23,0
11/11/23,0
12/11/23,773461
13/11/23,0
14/11/23,0
15/11/23,0
16/11/23,0
17/11/23,0
18/11/23,0
19/11/23,914253
20/11/23,0
21/11/23,0
22/11/23,0
23/11/23,0
24/11/23,0
25/11/23,0
26/11/23,1050065
27/11/23,0
28/11/23,0
29/11/23,0
30/11/23,0
01/12/23,0
02/12/23,0
03/12/23,1241610
04/12/23,0
05/12/23,0
06/12/23,0
07/12/23,0
08/12/23,0
09/12/23,0
10/12/23,1462069
11/12/23,0
12/12/23,0
13/12/23,0
14/12/23,0
15/12/23,0
16/12/23,0
17/12/23,1681210
18/12/23,0
19/12/23,0
20/12/23,0
21/12/23,0
22/12/23,0
23/12/23,0
24/12/23,1561192
25/12/23,0
26/12/23,0
27/12/23,0
28/12/23,0
29/12/23,0
